rayyan_key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-83177405,Collaborative Adaptive Rangeland Management Fosters Management-Science Partnerships,2018,,,Rangeland Ecology & Management,1550-7424,71,5,646-657,Wilmer H and Derner J D and Fernandez-Gimenez M E and Briske D D and Augustine D J and Porensky L M and Grp Carm Stakeholder,<Go to ISI>://WOS:000446859300014,,,,,"Wilmer, Hailey Derner, Justin D. Fernandez-Gimenez, Maria E. Briske, David D. Augustine, David J. Porensky, Lauren M. Augustine, David/0000-0003-3144-0466; Derner, Justin/0000-0001-8076-0736; Fernandez-Gimenez, Maria/0000-0001-9641-1434 1551-5028 | RAYYAN-INCLUSION: {""Philip""=>""Excluded"", ""fereshteh""=>""Excluded"", ""Iris""=>""Included"", ""Sarah""=>""Included"", ""Nibedita""=>""Maybe"", ""Alec""=>""Included"", ""Alvaro""=>""Included""}",10.1016/j.rama.2017.07.008,eppi-reviewer,,
rayyan-83177406,Entomological Society of America and Science Policy Engagement,2019,,,Annals of the Entomological Society of America,,112,2,62-70,Wiedenmann Robert N and Zalom Frank G and Cadwalader Erin L and Alleyne Marianne and Stelzig Chris J,http://0-search.ebscohost.com.catalogue.libraries.london.ac.uk/login.aspx?direct=true&db=a9h&AN=135201611&site=ehost-live,,,,,"Wiedenmann, Robert N 1; Email Address: rwieden@uark.edu Zalom, Frank G 2 Cadwalader, Erin L 3 Alleyne, Marianne 4 Stelzig, Chris J 5; Affiliation: 1: Department of Entomology, University of Arkansas, Fayetteville, AR 2: Department of Entomology and Nematology, University of California, Davis, CA 3: Lewis-Burke Associates LLC, Washington, DC 4: Department of Entomology, University of Illinois, Urbana, IL 5: Entomological Society of America, Annapolis, MD; Source Info: Mar2019, Vol. 112 Issue 2, p62; Subject Term: ENTOMOLOGISTS; Subject Term: ENTOMOLOGY; Subject Term: SCIENCE &amp; state; Author-Supplied Keyword: Grand Challenges; Author-Supplied Keyword: policy fellows; Author-Supplied Keyword: science advocacy; Company/Entity: ENTOMOLOGICAL Society of America Company/Entity: UNITED States. Environmental Protection Agency; NAICS/Industry Codes: 541690 Other Scientific and Technical Consulting Services; NAICS/Industry Codes: 924110 Administration of Air and Water Resource and Solid Waste Management Programs; Number of Pages: 9p; Document Type: Article; Full Text Word Count: 8597 | RAYYAN-INCLUSION: {""Philip""=>""Excluded"", ""Nibedita""=>""Excluded"", ""Alec""=>""Excluded"", ""Alvaro""=>""Excluded""}",10.1093/aesa/say060,eppi-reviewer;ENTOMOLOGISTS ENTOMOLOGY SCIENCE &;tate Grand Challenge;policy fellow;cience advocacy ENTOMOLOGICAL Society of America UNITED State;Environmental Protection Agency,,
rayyan-83177407,The need for transformative changes in the use of Indigenous knowledge along with science for environmental decision-making in the Arctic,2020,,,People and Nature,,2,3,544-556,Wheeler H C and Danielsen F and Fidel M and Hausner V and Horstkotte T and Johnson N and Lee O and Mukherjee N and Amos A and Ashthorn H and Ballari O and Behe C and Breton-Honeyman K and Retter G B and Buschman V and Jakobsen P and Johnson F and Lyberth B and Parrott J A and Pogodaev M and Sulyandziga R and Vronski N,<Go to ISI>://WOS:000647696100003,,,,,"Wheeler, Helen C. Danielsen, Finn Fidel, Maryann Hausner, Vera Horstkotte, Tim Johnson, Noor Lee, Olivia Mukherjee, Nibedita Amos, Amy Ashthorn, Heather Ballari, Oystein Behe, Carolina Breton-Honeyman, Kaitlin Retter, Gunn-Britt Buschman, Victoria Jakobsen, Paviarak Johnson, Frank Lyberth, Bjarne Parrott, Jennifer A. Pogodaev, Mikhail Sulyandziga, Rodion Vronski, Nikita Mukherjee, Nibedita/B-2531-2010 Mukherjee, Nibedita/0000-0002-2970-1498; Behe, Carolina/0000-0002-8141-8550; Hausner, Vera Helene/0000-0001-9825-0419; Wheeler, Helen/0000-0002-9820-5818 2575-8314 | RAYYAN-INCLUSION: {""Matthew""=>""Excluded"", ""Philip""=>""Excluded"", ""fereshteh""=>""Excluded"", ""Aidan""=>""Excluded"", ""Nibedita""=>""Included"", ""Alec""=>""Included"", ""Alvaro""=>""Excluded""}",10.1002/pan3.10131,eppi-reviewer,,
rayyan-83177408,Increasing the uptake of ecological model results in policy decisions to improve biodiversity outcomes,2022,,,Environmental Modelling & Software,1364-8152,149,,,Weiskopf S R and Harmackova Z V and Johnson C G and Londono-Murcia M C and Miller B W and Myers B J. E and Pereira L and Arce-Plata M I and Blanchard J L and Ferrier S and Fulton E A and Harfoot M and Isbell F and Johnson J A and Mori A S and Weng E S and Rosa I M. D,<Go to ISI>://WOS:000787109500005,,,,,"Weiskopf, Sarah R. Harmackova, Zuzana, V Johnson, Ciara G. Londono-Murcia, Maria Cecilia Miller, Brian W. Myers, Bonnie J. E. Pereira, Laura Arce-Plata, Maria Isabel Blanchard, Julia L. Ferrier, Simon Fulton, Elizabeth A. Harfoot, Mike Isbell, Forest Johnson, Justin A. Mori, Akira S. Weng, Ensheng Rosa, Isabel M. D. Miller, Brian/0000-0003-1716-1161; Isbell, Forest/0000-0001-9689-769X; Weiskopf, Sarah/0000-0002-5933-8191 1873-6726 | RAYYAN-INCLUSION: {""Matthew""=>""Excluded"", ""Philip""=>""Included"", ""Alice""=>""Excluded"", ""Carlos""=>""Excluded"", ""Tabitha""=>""Included"", ""Prishnee""=>""Included"", ""Valentin""=>""Excluded"", ""Elina""=>""Included"", ""fereshteh""=>""Excluded"", ""Aidan""=>""Included"", ""Tiff""=>""Excluded"", ""Iris""=>""Included"", ""Sarah""=>""Excluded"", ""Nibedita""=>""Included"", ""Alec""=>""Excluded"", ""Alvaro""=>""Excluded"", ""Isobel""=>""Included""}",10.1016/j.envsoft.2022.105318,eppi-reviewer,,
rayyan-83177409,Blueprints of Effective Biodiversity and Conservation Knowledge Products That Support Marine Policy,2017,,,Frontiers in Marine Science,,4,,,Weatherdon L V and Appeltans W and Bowles-Newark N and Brooks T M and Davis F E and Despot-Belmonte K and Fletcher S and Garilao C and Hilton-Taylor C and Hirsch T and Juffe-Bignoli D and Kaschner K and Kingston N and Malsch K and Regan E C and Kesner-Reyes K and Rose D C and Wetzel F T and Wilkinson T and Martin C S,<Go to ISI>://WOS:000457690600096,,,,,"Weatherdon, Lauren V. Appeltans, Ward Bowles-Newark, Nadine Brooks, Thomas M. Davis, Frances E. Despot-Belmonte, Katherine Fletcher, Stephen Garilao, Cristina Hilton-Taylor, Craig Hirsch, Tim Juffe-Bignoli, Diego Kaschner, Kristin Kingston, Naomi Malsch, Kelly Regan, Eugenie C. Kesner-Reyes, Kathleen Rose, David C. Wetzel, Florian T. Wilkinson, Tim Martin, Corinne S. ; Martin, Corinne/G-9041-2011 Weatherdon, Lauren V./0000-0002-3989-027X; Rose, David/0000-0002-5249-9021; Hirsch, Tim/0000-0002-5015-5807; Fletcher, Stephen/0000-0003-1180-9844; Martin, Corinne/0000-0002-5428-2766; Kaschner, Kristin/0000-0002-4061-626X 2296-7745 | RAYYAN-INCLUSION: {""Matthew""=>""Excluded"", ""Philip""=>""Excluded"", ""Alice""=>""Excluded"", ""Carlos""=>""Excluded"", ""Tabitha""=>""Excluded"", ""Prishnee""=>""Excluded"", ""Valentin""=>""Excluded"", ""Elina""=>""Excluded"", ""fereshteh""=>""Included"", ""Aidan""=>""Excluded"", ""Tiff""=>""Included"", ""Iris""=>""Excluded"", ""Sarah""=>""Excluded"", ""Nibedita""=>""Excluded"", ""Alec""=>""Excluded"", ""Isobel""=>""Excluded""}",10.3389/fmars.2017.00096,eppi-reviewer,,
rayyan-83177410,EKLIPSE: engaging knowledge holders and networks for evidence-informed European policy on biodiversity and ecosystem services,2019,,,Evidence & Policy,1744-2648,15,2,253-264,Watt A and Ainsworth G and Balian E and Cojocaru G and Darbi M and Dicks L and Eggermont H and Furman E and Goudeseune L and Huybrecht P and Kelemen E and Koch F and Konstantinou Z and Livoreil B and Locher K and Lux A and Mehring M and Nesshoever C and Paloniemi R and Saarikoski H and Pinto I S and Vandewalle M and Varjopuro R and Varumo L and Wittmer H and Young J,<Go to ISI>://WOS:000471772800006,,,,,"Watt, Allan Ainsworth, Gill Balian, Estelle Cojocaru, George Darbi, Marianne Dicks, Lynn Eggermont, Hilde Furman, Eeva Goudeseune, Lise Huybrecht, Pierre Kelemen, Eszter Koch, Florian Konstantinou, Zoi Livoreil, Barbara Locher, Karla Lux, Alexandra Mehring, Marion Nesshoever, Carsten Paloniemi, Riikka Saarikoski, Heti Pinto, Isabel Sousa Vandewalle, Marie Varjopuro, Riku Varumo, Liisa Wittmer, Heidi Young, Juliette Pinto, Isabel Sousa/W-1591-2019; Wittmer, Heidi/H-7264-2012; Dicks, Lynn/AFH-5289-2022; Young, Juliette/B-4225-2012; Koch, Florian/F-2504-2015; Ainsworth, Gill/P-3013-2019 Pinto, Isabel Sousa/0000-0002-9231-0553; Wittmer, Heidi/0000-0001-6966-7258; Young, Juliette/0000-0002-8522-0883; Koch, Florian/0000-0002-0343-0730; Ainsworth, Gill/0000-0003-0460-6563; Goudeseune, Lise/0000-0002-4239-3338; Lux, Alexandra/0000-0002-6626-7977; Vandewalle, Marie/0000-0003-3619-9763; Cojocaru, George/0000-0002-1432-364X; Dicks, Lynn/0000-0002-8304-4468 1744-2656 | RAYYAN-INCLUSION: {""Matthew""=>""Excluded"", ""Philip""=>""Excluded"", ""Alice""=>""Excluded"", ""Carlos""=>""Excluded"", ""Tabitha""=>""Excluded"", ""Prishnee""=>""Excluded"", ""Valentin""=>""Excluded"", ""Elina""=>""Excluded"", ""fereshteh""=>""Included"", ""Aidan""=>""Excluded"", ""Tiff""=>""Excluded"", ""Iris""=>""Excluded"", ""Sarah""=>""Excluded"", ""Nibedita""=>""Excluded"", ""Alec""=>""Excluded"", ""Isobel""=>""Excluded""}",10.1332/174426418x15314036194114,eppi-reviewer,,
rayyan-83177411,Characteristics of participatory monitoring projects and their relationship to decision-making in biological resource management: a review,2016,,,Biodiversity and Conservation,0960-3115,25,11,2001-2019,Villasenor E and Porter-Bolland L and Escobar F and Guariguata M R and Moreno-Casasola P,<Go to ISI>://WOS:000382014400001,,,,,"Villasenor, Emma Porter-Bolland, Luciana Escobar, Federico Guariguata, Manuel R. Moreno-Casasola, Patricia VILLASEÑOR, EMMA/AAR-7143-2021; Escobar, Federico/C-1396-2011; Porter-Bolland, Luciana/C-1398-2016; Moreno-Casasola, Patricia/R-8562-2018; Bolland, Luciana Porter/AAH-4895-2020 Escobar, Federico/0000-0003-0179-7528; Porter-Bolland, Luciana/0000-0001-8586-3267; Moreno-Casasola, Patricia/0000-0003-0468-0851; Bolland, Luciana Porter/0000-0001-8586-3267 1572-9710 | RAYYAN-INCLUSION: {""Philip""=>""Excluded"", ""fereshteh""=>""Excluded"", ""Sarah""=>""Excluded"", ""Nibedita""=>""Excluded"", ""Alec""=>""Excluded""}",10.1007/s10531-016-1184-9,eppi-reviewer,,
rayyan-83177413,What do scientists and managers know about soil biodiversity? Comparative knowledge mapping for sustainable forest management,2020,,,Forest Policy and Economics,1389-9341,119,,,Vanermen I and Muys B and Verheyen K and Vanwindekens F and Bouriaud L and Kardol P and Vranken L,<Go to ISI>://WOS:000568682900010,,,,,"Vanermen, Iris Muys, Bart Verheyen, Kris Vanwindekens, Frederic Bouriaud, Laura Kardol, Paul Vranken, Liesbet Kardol, Paul/N-8383-2015; Vranken, Liesbet/Q-1710-2018; BITOUN, RACHEL/AAC-9538-2021; Muys, Bart/A-3194-2015 Kardol, Paul/0000-0001-7065-3435; Vranken, Liesbet/0000-0003-1170-1139; Muys, Bart/0000-0001-9421-527X; Vanwindekens, Frederic/0000-0002-9117-7543 1872-7050 | RAYYAN-INCLUSION: {""Philip""=>""Excluded"", ""Alice""=>""Excluded"", ""fereshteh""=>""Excluded"", ""Nibedita""=>""Excluded"", ""Alec""=>""Excluded""}",10.1016/j.forpol.2020.102264,eppi-reviewer,,
rayyan-83177414,A question of dissemination: Assessing the practices and implications of research in tropical landscapes,2019,,,AMBIO - A Journal of the Human Environment,,48,1,35-47,Toomey Anne H and Alvaro María Eugenia Copa and Aiello-Lammens Matthew and Loayza Cossio and Oscar and Barlow Jos,http://0-search.ebscohost.com.catalogue.libraries.london.ac.uk/login.aspx?direct=true&db=a9h&AN=133611999&site=ehost-live,,,,,"Toomey, Anne H. 1; Email Address: atoomey@pace.edu Alvaro, María Eugenia Copa 2 Aiello-Lammens, Matthew 1 Loayza Cossio, Oscar 3 Barlow, Jos 4; Affiliation: 1: Department of Environmental Studies and Science, Pace University, 41 Park Row, #721B, 10038, New York, NY, USA 2: Colección Boliviana de Fauna, Calle 26 de Cota Cota (Ovidio Suárez) Casilla Nº 8706, La Paz, Bolivia 3: Madidi-Tambopata Landscape Conservation Program, Wildlife Conservation Society, Casilla 3-35 181 SM, La Paz, Bolivia 4: Lancaster Environment Centre, Lancaster University, LA1 4YQ, Bailrigg, Lancashire, UK; Source Info: Jan2019, Vol. 48 Issue 1, p35; Subject Term: SCIENTIFIC knowledge; Subject Term: CONSERVATIONISTS; Subject Term: ENVIRONMENTAL management; Subject Term: UNIVERSITIES &amp; colleges; Subject Term: PARQUE Nacional Madidi (Bolivia); Author-Supplied Keyword: Conservation management; Author-Supplied Keyword: Knowledge exchange; Author-Supplied Keyword: Local perceptions; Author-Supplied Keyword: Research ethics; Author-Supplied Keyword: Research-action; Author-Supplied Keyword: Research-implementation; NAICS/Industry Codes: 611310 Colleges, Universities, and Professional Schools; Number of Pages: 13p; Document Type: Article; Full Text Word Count: 7345 | RAYYAN-INCLUSION: {""Philip""=>""Included"", ""Tabitha""=>""Included"", ""fereshteh""=>""Excluded"", ""Iris""=>""Included"", ""Alec""=>""Included""}",10.1007/s13280-018-1056-5,eppi-reviewer;SCIENTIFIC knowledge CONSERVATIONISTS ENVIRONMENTAL management UNIVERSITIES & college;PARQUE Nacional Madidi (Bolivia) Con;ervation management Knowledge exchange Local perception;Re;earch ethic;earch-action Re;earch-implementation,,
rayyan-83177415,lEvaluating the outcomes and processes of a research-action partnership: The need for continuous reflective evaluation,2016,,,Bothalia,0006-8241,46,2,,Taylor C and Cockburn J and Rouget M and Ray-Mukherjee J and Mukherjee S and Slotow R and Roberts D and Boon R and O'Donoghue S and Douwes E,<Go to ISI>://WOS:000389715000011,,,,,"Taylor, Chantal Cockburn, Jessica Rouget, Mathieu Ray-Mukherjee, Jayanti Mukherjee, Shomen Slotow, Rob Roberts, Debra Boon, Richard O'Donoghue, Sean Douwes, Errol Slotow, Rob/AAM-9053-2020 2311-9284 Si | RAYYAN-INCLUSION: {""Philip""=>""Included"", ""Tabitha""=>""Included"", ""fereshteh""=>""Excluded"", ""Alec""=>""Excluded""}",10.4102/abc.v46i2.2154,eppi-reviewer,,
