Marca temporal,Reviewer name,Location,Biome,Taxonomic group,Conservation problem,Stakeholder population,Type of scientific evidence,Study design,Data collected,Factors influencing evidence use,rayyan key,Evidence discipline,Scale of study,Scale of decision-making,Type of organisation studied,Description of decision type
15/09/2025 12:48,Philip Martin,USA,Not mentioned,Not mentioned,Not mentioned,Practitioners,Peer-reviewed studies,Surveys,Opinions,"Accessibility of evidence, Format and language, Relevance, Source of evidence, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics, Capacity and resources",rayyan-83178000,,,,,
17/09/2025 13:00,Philip Martin,None mentioned,Not mentioned,Not mentioned,Not mentioned,Researchers,Ecological models,Interviews,Views and experiences,"Format and language, Relevance, Uncertainty, Scientist-actor relationships, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics, Culture of practitioner/policymakers",rayyan-83177408,,,,,
24/09/2025 11:52,Philip Martin,Bolivia,Forest,Not mentioned,Not mentioned,"Researchers, Practitioners, Policymakers, Indigenous groups included (I considered them to be practitioners in this context)",Research data,"Surveys, Interviews, Documentary analysis",Views and opinions,"Accessibility of evidence, Relevance, Social, political, and economic context, Researcher skills and awareness, Practitioner/policmaker attitude towards evidence use",rayyan-83177414,Both natural and social sciences,,,,
24/09/2025 12:10,Philip Martin,South Africa,Grassland,Not mentioned,"Climate change, land-use change","Researchers, Policymakers",Research projects,Workshops,Opinions,"Accessibility of evidence, Format and language, Relevance, Scientist-actor relationships, Culture of researchers, Culture of practitioner/policymakers, Capacity and resources",rayyan-83177415,Natural sciences,,,,
24/09/2025 12:23,Philip Martin,Global,Not mentioned,Not mentioned,Not mentioned,"Researchers, Practitioners",No description provided,Surveys,Opinions,"Accessibility of evidence, Format and language, Relevance, Practitioner/policymaker research skills, Capacity and resources",rayyan-83177416,Natural sciences,,,,
24/09/2025 12:36,Philip Martin,Estonia,Not mentioned,"Birds, Plants",Not mentioned,"Researchers, Practitioners, Policymakers",Citizen science data,"Surveys, Interviews",Opinions,"Accessibility of evidence, Quantity of information, Rigour, Capacity and resources",rayyan-83177418,Natural sciences,,,,
24/09/2025 12:54,Philip Martin,Africa,Not mentioned,Not mentioned,Not mentioned,"Practitioners, Policymakers",No description provided,Workshops,Opinions,"Existence of evidence, Accessibility of evidence, Format and language, Quantity of information, Rigour, Timelieness of evidence, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Capacity and resources",rayyan-83177421,Natural sciences,,,,
25/09/2025 10:58,Philip Martin,Global,Not mentioned,Not mentioned,Not mentioned,Researchers,Scenarios,Surveys,Opinions,"Relevance, Uncertainty, Scale",rayyan-83177422,Both natural and social sciences,,,,
25/09/2025 11:06,Philip Martin,Global,Marine,Fish,Sustainable shark fisheries,Practitioners,Peer-reviewed studies,"Surveys, Interviews",Opinions,"Relevance, Scientist-actor relationships",rayyan-83177423,Natural sciences,,,,
25/09/2025 11:30,Philip Martin,Australia,Freshwater,Invertebrates,"Overfishing, habitat degradation",Practitioners,Peer-reviewed studies,"Focus groups, Documentary analysis",Opinions,"Format and language, Scientist-actor relationships, Researcher skills and awareness",rayyan-83177435,Both natural and social sciences,,,,
